x,Curve1
0.00916146,1.10244
2.18988,1.09247
4.1528,1.09228
6.00755,1.12137
8.07952,1.12116
9.82434,1.12099
11.5694,1.13058
13.3143,1.13041
15.0591,1.13024
17.1307,1.12028
19.0937,1.12009
20.6207,1.1297
21.9302,1.15884
22.9134,1.21728
23.5701,1.29526
24.227,1.383
24.8843,1.4805
25.3235,1.57802
25.872,1.68528
26.3111,1.7828
26.7503,1.88032
27.2982,1.96807
28.0648,2.07531
28.7224,2.18256
29.2688,2.22153
30.0313,2.19219
30.6841,2.14335
31.2273,2.075
32.0997,2.07492
32.8619,2.03582
33.515,1.99673
34.0594,1.96741
34.7125,1.92832
35.4758,1.92825
36.131,1.95745
36.8941,1.94762
37.5478,1.92804
38.31,1.88895
39.5101,1.90834
40.4919,1.918
41.4745,1.95693
42.0221,2.03492
42.4616,2.1422
42.6827,2.23974
43.1212,2.31774
43.7746,2.28841
44.0997,2.22009
44.5342,2.16151
44.9686,2.10293
45.5115,2.02483
46.0553,1.97599
46.7078,1.91739
47.3606,1.86855
48.0134,1.81971
48.6666,1.78062
49.3223,1.82933
49.9781,1.87805
50.6333,1.90726
51.7232,1.88764
52.2676,1.85832
52.9222,1.86801
53.3596,1.90699
53.6885,1.96549
54.0174,2.024
54.3464,2.0825
54.6744,2.11174
55.4369,2.0824
55.9818,2.07259
56.528,2.1018
57.1817,2.08223
57.617,2.05292
58.0523,2.0236
58.5958,1.96502
59.1402,1.93569
59.7942,1.92587
60.2301,1.91608
